ID	Sex	DR	Vowel
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	iy
RHL0	M	2	ae
RHL0	M	2	ae
RHL0	M	2	ae
RHL0	M	2	ae
RHL0	M	2	ae
RHL0	M	2	ae
RHL0	M	2	ae
RHL0	M	2	ae
RHL0	M	2	ae
RHL0	M	2	ae
RHL0	M	2	aa
RHL0	M	2	aa
RHL0	M	2	aa
RHL0	M	2	aa
RHL0	M	2	aa
RHL0	M	2	aa
RHL0	M	2	aa
