ID	Sex	DR	Vowel
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	iy
ADC0	M	3	aa
ADC0	M	3	aa
ADC0	M	3	aa
ADC0	M	3	aa
ADC0	M	3	aa
ADC0	M	3	aa
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	s
ADC0	M	3	z
ADC0	M	3	z
ADC0	M	3	z
ADC0	M	3	z
ADC0	M	3	z
ADC0	M	3	z
ADC0	M	3	z
ADC0	M	3	z
