ID	Sex	DR	Vowel
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	iy
BJV0	M	2	aa
BJV0	M	2	aa
BJV0	M	2	aa
BJV0	M	2	aa
BJV0	M	2	aa
BJV0	M	2	aa
BJV0	M	2	aa
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	s
BJV0	M	2	z
BJV0	M	2	z
BJV0	M	2	z
BJV0	M	2	z
BJV0	M	2	z
BJV0	M	2	z
BJV0	M	2	z
BJV0	M	2	z
BJV0	M	2	z
