ID	Sex	DR	Vowel
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	iy
BWP0	M	4	aa
BWP0	M	4	aa
BWP0	M	4	aa
BWP0	M	4	aa
BWP0	M	4	aa
BWP0	M	4	aa
BWP0	M	4	aa
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	s
BWP0	M	4	z
BWP0	M	4	z
BWP0	M	4	z
BWP0	M	4	z
BWP0	M	4	z
BWP0	M	4	z
BWP0	M	4	z
BWP0	M	4	z
BWP0	M	4	z
BWP0	M	4	z
BWP0	M	4	z
BWP0	M	4	z
BWP0	M	4	z
