ID	Sex	DR	Vowel
CAE0	M	6	iy
CAE0	M	6	iy
CAE0	M	6	iy
CAE0	M	6	iy
CAE0	M	6	iy
CAE0	M	6	iy
CAE0	M	6	iy
CAE0	M	6	iy
CAE0	M	6	iy
CAE0	M	6	iy
CAE0	M	6	iy
CAE0	M	6	iy
CAE0	M	6	aa
CAE0	M	6	aa
CAE0	M	6	aa
CAE0	M	6	aa
CAE0	M	6	aa
CAE0	M	6	aa
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	s
CAE0	M	6	z
CAE0	M	6	z
CAE0	M	6	z
CAE0	M	6	z
CAE0	M	6	z
CAE0	M	6	z
CAE0	M	6	z
CAE0	M	6	z
CAE0	M	6	z
CAE0	M	6	z
CAE0	M	6	z
CAE0	M	6	z
