ID	Sex	DR	Vowel
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	iy
CAJ0	F	2	aa
CAJ0	F	2	aa
CAJ0	F	2	aa
CAJ0	F	2	aa
CAJ0	F	2	aa
CAJ0	F	2	aa
CAJ0	F	2	aa
CAJ0	F	2	aa
CAJ0	F	2	aa
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	s
CAJ0	F	2	z
CAJ0	F	2	z
CAJ0	F	2	z
CAJ0	F	2	z
CAJ0	F	2	z
CAJ0	F	2	z
CAJ0	F	2	z
CAJ0	F	2	z
CAJ0	F	2	z
CAJ0	F	2	z
