ID	Sex	DR	Vowel
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
