ID	Sex	DR	Vowel
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	aa
CMH0	F	3	aa
CMH0	F	3	aa
CMH0	F	3	aa
CMH0	F	3	aa
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
