ID	Sex	DR	Vowel
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	iy
CMM0	F	2	aa
CMM0	F	2	aa
CMM0	F	2	aa
CMM0	F	2	aa
CMM0	F	2	aa
CMM0	F	2	aa
CMM0	F	2	aa
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	s
CMM0	F	2	z
CMM0	F	2	z
CMM0	F	2	z
CMM0	F	2	z
CMM0	F	2	z
CMM0	F	2	z
CMM0	F	2	z
