ID	Sex	DR	Vowel
CRZ0	F	7	iy
CRZ0	F	7	iy
CRZ0	F	7	iy
CRZ0	F	7	iy
CRZ0	F	7	iy
CRZ0	F	7	iy
CRZ0	F	7	iy
CRZ0	F	7	iy
CRZ0	F	7	iy
CRZ0	F	7	iy
CRZ0	F	7	iy
CRZ0	F	7	aa
CRZ0	F	7	aa
CRZ0	F	7	aa
CRZ0	F	7	aa
CRZ0	F	7	aa
CRZ0	F	7	aa
CRZ0	F	7	aa
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	s
CRZ0	F	7	z
CRZ0	F	7	z
CRZ0	F	7	z
CRZ0	F	7	z
CRZ0	F	7	z
CRZ0	F	7	z
CRZ0	F	7	z
CRZ0	F	7	z
CRZ0	F	7	z
CRZ0	F	7	z
