ID	Sex	DR	Vowel
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	iy
CXM0	M	8	aa
CXM0	M	8	aa
CXM0	M	8	aa
CXM0	M	8	aa
CXM0	M	8	aa
CXM0	M	8	aa
CXM0	M	8	aa
CXM0	M	8	aa
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	s
CXM0	M	8	z
CXM0	M	8	z
CXM0	M	8	z
CXM0	M	8	z
CXM0	M	8	z
CXM0	M	8	z
CXM0	M	8	z
CXM0	M	8	z
CXM0	M	8	z
