ID	Sex	DR	Vowel
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	iy
DSJ0	M	5	aa
DSJ0	M	5	aa
DSJ0	M	5	aa
DSJ0	M	5	aa
DSJ0	M	5	aa
DSJ0	M	5	aa
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	s
DSJ0	M	5	z
DSJ0	M	5	z
DSJ0	M	5	z
DSJ0	M	5	z
DSJ0	M	5	z
DSJ0	M	5	z
DSJ0	M	5	z
DSJ0	M	5	z
DSJ0	M	5	z
DSJ0	M	5	z
DSJ0	M	5	z
