ID	Sex	DR	Vowel
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	iy
EDR0	M	1	aa
EDR0	M	1	aa
EDR0	M	1	aa
EDR0	M	1	aa
EDR0	M	1	aa
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	s
EDR0	M	1	z
EDR0	M	1	z
EDR0	M	1	z
EDR0	M	1	z
EDR0	M	1	z
EDR0	M	1	z
EDR0	M	1	z
