ID	Sex	DR	Vowel
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	iy
FWK0	M	4	aa
FWK0	M	4	aa
FWK0	M	4	aa
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	s
FWK0	M	4	z
FWK0	M	4	z
FWK0	M	4	z
FWK0	M	4	z
FWK0	M	4	z
FWK0	M	4	z
FWK0	M	4	z
FWK0	M	4	z
FWK0	M	4	z
FWK0	M	4	z
FWK0	M	4	z
FWK0	M	4	z
