ID	Sex	DR	Vowel
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	iy
GWT0	M	2	aa
GWT0	M	2	aa
GWT0	M	2	aa
GWT0	M	2	aa
GWT0	M	2	aa
GWT0	M	2	aa
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	s
GWT0	M	2	z
GWT0	M	2	z
GWT0	M	2	z
GWT0	M	2	z
GWT0	M	2	z
GWT0	M	2	z
GWT0	M	2	z
GWT0	M	2	z
GWT0	M	2	z
GWT0	M	2	z
