ID	Sex	DR	Vowel
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	iy
ISB0	F	7	aa
ISB0	F	7	aa
ISB0	F	7	aa
ISB0	F	7	aa
ISB0	F	7	aa
ISB0	F	7	aa
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	s
ISB0	F	7	z
ISB0	F	7	z
ISB0	F	7	z
ISB0	F	7	z
ISB0	F	7	z
