ID	Sex	DR	Vowel
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	iy
JAE0	M	2	aa
JAE0	M	2	aa
JAE0	M	2	aa
JAE0	M	2	aa
JAE0	M	2	aa
JAE0	M	2	aa
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	s
JAE0	M	2	z
JAE0	M	2	z
JAE0	M	2	z
JAE0	M	2	z
JAE0	M	2	z
JAE0	M	2	z
JAE0	M	2	z
JAE0	M	2	z
