ID	Sex	DR	Vowel
JBR0	M	3	iy
JBR0	M	3	iy
JBR0	M	3	iy
JBR0	M	3	iy
JBR0	M	3	iy
JBR0	M	3	iy
JBR0	M	3	iy
JBR0	M	3	iy
JBR0	M	3	iy
JBR0	M	3	iy
JBR0	M	3	iy
JBR0	M	3	iy
JBR0	M	3	aa
JBR0	M	3	aa
JBR0	M	3	aa
JBR0	M	3	aa
JBR0	M	3	aa
JBR0	M	3	aa
JBR0	M	3	aa
JBR0	M	3	aa
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	s
JBR0	M	3	z
JBR0	M	3	z
JBR0	M	3	z
JBR0	M	3	z
JBR0	M	3	z
JBR0	M	3	z
JBR0	M	3	z
JBR0	M	3	z
JBR0	M	3	z
JBR0	M	3	z
JBR0	M	3	z
