ID	Sex	DR	Vowel
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	iy
JDM0	M	5	aa
JDM0	M	5	aa
JDM0	M	5	aa
JDM0	M	5	aa
JDM0	M	5	aa
JDM0	M	5	aa
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	s
JDM0	M	5	z
JDM0	M	5	z
JDM0	M	5	z
JDM0	M	5	z
