ID	Sex	DR	Vowel
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	iy
JES0	M	3	aa
JES0	M	3	aa
JES0	M	3	aa
JES0	M	3	aa
JES0	M	3	aa
JES0	M	3	aa
JES0	M	3	aa
JES0	M	3	aa
JES0	M	3	aa
JES0	M	3	aa
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	s
JES0	M	3	z
JES0	M	3	z
JES0	M	3	z
JES0	M	3	z
JES0	M	3	z
JES0	M	3	z
