ID	Sex	DR	Vowel
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	iy
JFR0	M	7	aa
JFR0	M	7	aa
JFR0	M	7	aa
JFR0	M	7	aa
JFR0	M	7	aa
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	s
JFR0	M	7	z
JFR0	M	7	z
JFR0	M	7	z
JFR0	M	7	z
JFR0	M	7	z
JFR0	M	7	z
JFR0	M	7	z
JFR0	M	7	z
JFR0	M	7	z
JFR0	M	7	z
JFR0	M	7	z
JFR0	M	7	z
