ID	Sex	DR	Vowel
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	iy
JWB0	F	2	aa
JWB0	F	2	aa
JWB0	F	2	aa
JWB0	F	2	aa
JWB0	F	2	aa
JWB0	F	2	aa
JWB0	F	2	aa
JWB0	F	2	aa
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	s
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
JWB0	F	2	z
