ID	Sex	DR	Vowel
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	iy
KLS1	M	3	aa
KLS1	M	3	aa
KLS1	M	3	aa
KLS1	M	3	aa
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	s
KLS1	M	3	z
KLS1	M	3	z
KLS1	M	3	z
KLS1	M	3	z
KLS1	M	3	z
KLS1	M	3	z
KLS1	M	3	z
KLS1	M	3	z
KLS1	M	3	z
KLS1	M	3	z
KLS1	M	3	z
KLS1	M	3	z
