ID	Sex	DR	Vowel
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	iy
LAC0	F	3	aa
LAC0	F	3	aa
LAC0	F	3	aa
LAC0	F	3	aa
LAC0	F	3	aa
LAC0	F	3	aa
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	s
LAC0	F	3	z
LAC0	F	3	z
LAC0	F	3	z
LAC0	F	3	z
LAC0	F	3	z
LAC0	F	3	z
LAC0	F	3	z
LAC0	F	3	z
LAC0	F	3	z
