ID	Sex	DR	Vowel
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	iy
LKD0	F	4	aa
LKD0	F	4	aa
LKD0	F	4	aa
LKD0	F	4	aa
LKD0	F	4	aa
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	s
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
LKD0	F	4	z
