ID	Sex	DR	Vowel
MJR0	M	3	iy
MJR0	M	3	iy
MJR0	M	3	iy
MJR0	M	3	iy
MJR0	M	3	iy
MJR0	M	3	iy
MJR0	M	3	iy
MJR0	M	3	iy
MJR0	M	3	iy
MJR0	M	3	iy
MJR0	M	3	iy
MJR0	M	3	aa
MJR0	M	3	aa
MJR0	M	3	aa
MJR0	M	3	aa
MJR0	M	3	aa
MJR0	M	3	aa
MJR0	M	3	aa
MJR0	M	3	aa
MJR0	M	3	aa
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	s
MJR0	M	3	z
MJR0	M	3	z
MJR0	M	3	z
MJR0	M	3	z
MJR0	M	3	z
MJR0	M	3	z
