ID	Sex	DR	Vowel
NTW0	M	7	iy
NTW0	M	7	iy
NTW0	M	7	iy
NTW0	M	7	iy
NTW0	M	7	iy
NTW0	M	7	iy
NTW0	M	7	iy
NTW0	M	7	iy
NTW0	M	7	iy
NTW0	M	7	iy
NTW0	M	7	iy
NTW0	M	7	iy
NTW0	M	7	aa
NTW0	M	7	aa
NTW0	M	7	aa
NTW0	M	7	aa
NTW0	M	7	aa
NTW0	M	7	aa
NTW0	M	7	aa
NTW0	M	7	aa
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	s
NTW0	M	7	z
NTW0	M	7	z
NTW0	M	7	z
NTW0	M	7	z
NTW0	M	7	z
NTW0	M	7	z
NTW0	M	7	z
NTW0	M	7	z
NTW0	M	7	z
