ID	Sex	DR	Vowel
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	iy
PAB0	M	7	aa
PAB0	M	7	aa
PAB0	M	7	aa
PAB0	M	7	aa
PAB0	M	7	aa
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	s
PAB0	M	7	z
PAB0	M	7	z
PAB0	M	7	z
PAB0	M	7	z
PAB0	M	7	z
