ID	Sex	DR	Vowel
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	iy
PLB0	M	4	aa
PLB0	M	4	aa
PLB0	M	4	aa
PLB0	M	4	aa
PLB0	M	4	aa
PLB0	M	4	aa
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	s
PLB0	M	4	z
PLB0	M	4	z
PLB0	M	4	z
PLB0	M	4	z
PLB0	M	4	z
