ID	Sex	DR	Vowel
RCZ0	M	2	iy
RCZ0	M	2	iy
RCZ0	M	2	iy
RCZ0	M	2	iy
RCZ0	M	2	iy
RCZ0	M	2	iy
RCZ0	M	2	iy
RCZ0	M	2	iy
RCZ0	M	2	iy
RCZ0	M	2	iy
RCZ0	M	2	iy
RCZ0	M	2	iy
RCZ0	M	2	aa
RCZ0	M	2	aa
RCZ0	M	2	aa
RCZ0	M	2	aa
RCZ0	M	2	aa
RCZ0	M	2	aa
RCZ0	M	2	aa
RCZ0	M	2	aa
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	s
RCZ0	M	2	z
RCZ0	M	2	z
RCZ0	M	2	z
RCZ0	M	2	z
RCZ0	M	2	z
RCZ0	M	2	z
RCZ0	M	2	z
RCZ0	M	2	z
RCZ0	M	2	z
RCZ0	M	2	z
RCZ0	M	2	z
