ID	Sex	DR	Vowel
RDD0	M	1	iy
RDD0	M	1	iy
RDD0	M	1	iy
RDD0	M	1	iy
RDD0	M	1	iy
RDD0	M	1	iy
RDD0	M	1	iy
RDD0	M	1	iy
RDD0	M	1	iy
RDD0	M	1	iy
RDD0	M	1	iy
RDD0	M	1	iy
RDD0	M	1	aa
RDD0	M	1	aa
RDD0	M	1	aa
RDD0	M	1	aa
RDD0	M	1	aa
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	s
RDD0	M	1	z
RDD0	M	1	z
RDD0	M	1	z
RDD0	M	1	z
RDD0	M	1	z
RDD0	M	1	z
RDD0	M	1	z
