ID	Sex	DR	Vowel
RKO0	M	4	iy
RKO0	M	4	iy
RKO0	M	4	iy
RKO0	M	4	iy
RKO0	M	4	iy
RKO0	M	4	iy
RKO0	M	4	iy
RKO0	M	4	iy
RKO0	M	4	iy
RKO0	M	4	iy
RKO0	M	4	iy
RKO0	M	4	iy
RKO0	M	4	aa
RKO0	M	4	aa
RKO0	M	4	aa
RKO0	M	4	aa
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	s
RKO0	M	4	z
RKO0	M	4	z
RKO0	M	4	z
RKO0	M	4	z
