ID	Sex	DR	Vowel
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	iy
RLL0	F	2	aa
RLL0	F	2	aa
RLL0	F	2	aa
RLL0	F	2	aa
RLL0	F	2	aa
RLL0	F	2	aa
RLL0	F	2	aa
RLL0	F	2	aa
RLL0	F	2	aa
RLL0	F	2	aa
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	s
RLL0	F	2	z
RLL0	F	2	z
RLL0	F	2	z
RLL0	F	2	z
