ID	Sex	DR	Vowel
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	iy
RMH0	M	7	aa
RMH0	M	7	aa
RMH0	M	7	aa
RMH0	M	7	aa
RMH0	M	7	aa
RMH0	M	7	aa
RMH0	M	7	aa
RMH0	M	7	aa
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	s
RMH0	M	7	z
RMH0	M	7	z
RMH0	M	7	z
RMH0	M	7	z
RMH0	M	7	z
RMH0	M	7	z
RMH0	M	7	z
RMH0	M	7	z
RMH0	M	7	z
RMH0	M	7	z
RMH0	M	7	z
