ID	Sex	DR	Vowel
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	iy
RML0	M	5	aa
RML0	M	5	aa
RML0	M	5	aa
RML0	M	5	aa
RML0	M	5	aa
RML0	M	5	aa
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	s
RML0	M	5	z
RML0	M	5	z
RML0	M	5	z
RML0	M	5	z
RML0	M	5	z
RML0	M	5	z
RML0	M	5	z
RML0	M	5	z
RML0	M	5	z
RML0	M	5	z
RML0	M	5	z
