ID	Sex	DR	Vowel
RPC1	M	7	iy
RPC1	M	7	iy
RPC1	M	7	iy
RPC1	M	7	iy
RPC1	M	7	iy
RPC1	M	7	iy
RPC1	M	7	iy
RPC1	M	7	iy
RPC1	M	7	iy
RPC1	M	7	iy
RPC1	M	7	iy
RPC1	M	7	aa
RPC1	M	7	aa
RPC1	M	7	aa
RPC1	M	7	aa
RPC1	M	7	aa
RPC1	M	7	aa
RPC1	M	7	aa
RPC1	M	7	aa
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	s
RPC1	M	7	z
RPC1	M	7	z
RPC1	M	7	z
RPC1	M	7	z
RPC1	M	7	z
RPC1	M	7	z
RPC1	M	7	z
RPC1	M	7	z
