ID	Sex	DR	Vowel
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	iy
SJS1	M	1	aa
SJS1	M	1	aa
SJS1	M	1	aa
SJS1	M	1	aa
SJS1	M	1	aa
SJS1	M	1	aa
SJS1	M	1	aa
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	s
SJS1	M	1	z
SJS1	M	1	z
SJS1	M	1	z
SJS1	M	1	z
SJS1	M	1	z
SJS1	M	1	z
SJS1	M	1	z
SJS1	M	1	z
SJS1	M	1	z
SJS1	M	1	z
SJS1	M	1	z
SJS1	M	1	z
