ID	Sex	DR	Vowel
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	iy
STK0	M	1	aa
STK0	M	1	aa
STK0	M	1	aa
STK0	M	1	aa
STK0	M	1	aa
STK0	M	1	aa
STK0	M	1	aa
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	s
STK0	M	1	z
STK0	M	1	z
STK0	M	1	z
STK0	M	1	z
