ID	Sex	DR	Vowel
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	iy
TAT0	M	5	aa
TAT0	M	5	aa
TAT0	M	5	aa
TAT0	M	5	aa
TAT0	M	5	aa
TAT0	M	5	aa
TAT0	M	5	aa
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	s
TAT0	M	5	z
TAT0	M	5	z
TAT0	M	5	z
TAT0	M	5	z
TAT0	M	5	z
TAT0	M	5	z
TAT0	M	5	z
TAT0	M	5	z
