ID	Sex	DR	Vowel
VJH0	M	3	iy
VJH0	M	3	iy
VJH0	M	3	iy
VJH0	M	3	iy
VJH0	M	3	iy
VJH0	M	3	iy
VJH0	M	3	iy
VJH0	M	3	iy
VJH0	M	3	iy
VJH0	M	3	iy
VJH0	M	3	aa
VJH0	M	3	aa
VJH0	M	3	aa
VJH0	M	3	aa
VJH0	M	3	aa
VJH0	M	3	aa
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	s
VJH0	M	3	z
VJH0	M	3	z
VJH0	M	3	z
VJH0	M	3	z
