ID	Sex	DR	Vowel
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	iy
WBT0	M	1	aa
WBT0	M	1	aa
WBT0	M	1	aa
WBT0	M	1	aa
WBT0	M	1	aa
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	s
WBT0	M	1	z
WBT0	M	1	z
WBT0	M	1	z
WBT0	M	1	z
WBT0	M	1	z
WBT0	M	1	z
WBT0	M	1	z
WBT0	M	1	z
WBT0	M	1	z
WBT0	M	1	z
WBT0	M	1	z
WBT0	M	1	z
