ID	Sex	DR	Vowel
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	iy
WEM0	M	5	aa
WEM0	M	5	aa
WEM0	M	5	aa
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	s
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
WEM0	M	5	z
