ID	Sex	DR	Vowel
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	iy
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	aa
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	s
WGR0	M	3	z
WGR0	M	3	z
WGR0	M	3	z
WGR0	M	3	z
WGR0	M	3	z
WGR0	M	3	z
WGR0	M	3	z
