ID	Sex	DR	Vowel
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	iy
WRE0	M	7	aa
WRE0	M	7	aa
WRE0	M	7	aa
WRE0	M	7	aa
WRE0	M	7	aa
WRE0	M	7	aa
WRE0	M	7	aa
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	s
WRE0	M	7	z
WRE0	M	7	z
WRE0	M	7	z
WRE0	M	7	z
WRE0	M	7	z
WRE0	M	7	z
WRE0	M	7	z
WRE0	M	7	z
