ID	Sex	DR	Vowel
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	iy
CTH0	M	7	aa
CTH0	M	7	aa
CTH0	M	7	aa
CTH0	M	7	aa
CTH0	M	7	aa
CTH0	M	7	aa
CTH0	M	7	aa
CTH0	M	7	uh
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	s
CTH0	M	7	z
CTH0	M	7	z
CTH0	M	7	z
CTH0	M	7	z
CTH0	M	7	z
CTH0	M	7	z
CTH0	M	7	z
CTH0	M	7	z
CTH0	M	7	z
CTH0	M	7	z
CTH0	M	7	z
CTH0	M	7	z
CTH0	M	7	sh
CTH0	M	7	sh
CTH0	M	7	sh
CTH0	M	7	sh
CTH0	M	7	f
CTH0	M	7	f
CTH0	M	7	f
CTH0	M	7	f
CTH0	M	7	f
CTH0	M	7	f
CTH0	M	7	f
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	h#
CTH0	M	7	pau
CTH0	M	7	pau
DPK0	M	1	iy
DPK0	M	1	iy
DPK0	M	1	iy
DPK0	M	1	iy
DPK0	M	1	iy
DPK0	M	1	iy
DPK0	M	1	iy
DPK0	M	1	iy
DPK0	M	1	iy
DPK0	M	1	iy
DPK0	M	1	iy
DPK0	M	1	aa
DPK0	M	1	aa
DPK0	M	1	aa
DPK0	M	1	aa
DPK0	M	1	aa
DPK0	M	1	aa
DPK0	M	1	aa
DPK0	M	1	uh
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	s
DPK0	M	1	z
DPK0	M	1	z
DPK0	M	1	z
DPK0	M	1	z
DPK0	M	1	z
DPK0	M	1	z
DPK0	M	1	z
DPK0	M	1	z
DPK0	M	1	sh
DPK0	M	1	sh
DPK0	M	1	sh
DPK0	M	1	sh
DPK0	M	1	sh
DPK0	M	1	sh
DPK0	M	1	f
DPK0	M	1	f
DPK0	M	1	f
DPK0	M	1	f
DPK0	M	1	f
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
DPK0	M	1	h#
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	iy
KLC1	F	6	aa
KLC1	F	6	aa
KLC1	F	6	aa
KLC1	F	6	aa
KLC1	F	6	aa
KLC1	F	6	aa
KLC1	F	6	aa
KLC1	F	6	aa
KLC1	F	6	aa
KLC1	F	6	uh
KLC1	F	6	uh
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	s
KLC1	F	6	z
KLC1	F	6	z
KLC1	F	6	z
KLC1	F	6	z
KLC1	F	6	z
KLC1	F	6	z
KLC1	F	6	z
KLC1	F	6	z
KLC1	F	6	z
KLC1	F	6	z
KLC1	F	6	sh
KLC1	F	6	sh
KLC1	F	6	sh
KLC1	F	6	sh
KLC1	F	6	sh
KLC1	F	6	sh
KLC1	F	6	f
KLC1	F	6	f
KLC1	F	6	f
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	h#
KLC1	F	6	pau
KLC1	F	6	pau
KLC1	F	6	pau
MSM0	M	3	iy
MSM0	M	3	iy
MSM0	M	3	iy
MSM0	M	3	iy
MSM0	M	3	iy
MSM0	M	3	iy
MSM0	M	3	iy
MSM0	M	3	iy
MSM0	M	3	iy
MSM0	M	3	iy
MSM0	M	3	iy
MSM0	M	3	iy
MSM0	M	3	aa
MSM0	M	3	aa
MSM0	M	3	aa
MSM0	M	3	aa
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	s
MSM0	M	3	z
MSM0	M	3	z
MSM0	M	3	z
MSM0	M	3	sh
MSM0	M	3	sh
MSM0	M	3	sh
MSM0	M	3	sh
MSM0	M	3	sh
MSM0	M	3	f
MSM0	M	3	f
MSM0	M	3	f
MSM0	M	3	f
MSM0	M	3	f
MSM0	M	3	f
MSM0	M	3	f
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	h#
MSM0	M	3	pau
MSM0	M	3	pau
MSM0	M	3	pau
MSM0	M	3	pau
MSM0	M	3	pau
MSM0	M	3	pau
MSM0	M	3	pau
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
CDR1	F	5	iy
