ID	Sex	DR	Vowel
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	iy
AJC0	M	8	aa
AJC0	M	8	aa
AJC0	M	8	aa
AJC0	M	8	aa
AJC0	M	8	aa
AJC0	M	8	aa
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	s
AJC0	M	8	z
AJC0	M	8	z
AJC0	M	8	z
AJC0	M	8	z
AJC0	M	8	z
AJC0	M	8	z
AJC0	M	8	z
AJC0	M	8	sh
AJC0	M	8	sh
AJC0	M	8	sh
AJC0	M	8	sh
AJC0	M	8	sh
AJC0	M	8	f
AJC0	M	8	f
AJC0	M	8	f
AJC0	M	8	f
AJC0	M	8	f
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	h#
AJC0	M	8	pau
AJC0	M	8	pau
AJC0	M	8	pau
