ID	Sex	DR	Vowel
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	iy
BGT0	M	5	aa
BGT0	M	5	aa
BGT0	M	5	aa
BGT0	M	5	aa
BGT0	M	5	aa
BGT0	M	5	aa
BGT0	M	5	aa
BGT0	M	5	uh
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	s
BGT0	M	5	z
BGT0	M	5	z
BGT0	M	5	z
BGT0	M	5	z
BGT0	M	5	sh
BGT0	M	5	sh
BGT0	M	5	sh
BGT0	M	5	sh
BGT0	M	5	sh
BGT0	M	5	f
BGT0	M	5	f
BGT0	M	5	f
BGT0	M	5	f
BGT0	M	5	f
BGT0	M	5	f
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	h#
BGT0	M	5	pau
BGT0	M	5	pau
BGT0	M	5	pau
BGT0	M	5	pau
