ID	Sex	DR	Vowel
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	iy
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	aa
CAL0	M	3	uh
CAL0	M	3	uh
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	s
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	z
CAL0	M	3	sh
CAL0	M	3	sh
CAL0	M	3	sh
CAL0	M	3	sh
CAL0	M	3	sh
CAL0	M	3	f
CAL0	M	3	f
CAL0	M	3	f
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	h#
CAL0	M	3	pau
CAL0	M	3	pau
