ID	Sex	DR	Vowel
CLK0	M	7	iy
CLK0	M	7	iy
CLK0	M	7	iy
CLK0	M	7	iy
CLK0	M	7	iy
CLK0	M	7	iy
CLK0	M	7	iy
CLK0	M	7	iy
CLK0	M	7	iy
CLK0	M	7	iy
CLK0	M	7	iy
CLK0	M	7	iy
CLK0	M	7	aa
CLK0	M	7	aa
CLK0	M	7	aa
CLK0	M	7	aa
CLK0	M	7	aa
CLK0	M	7	aa
CLK0	M	7	aa
CLK0	M	7	aa
CLK0	M	7	uh
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	s
CLK0	M	7	z
CLK0	M	7	z
CLK0	M	7	z
CLK0	M	7	z
CLK0	M	7	z
CLK0	M	7	z
CLK0	M	7	z
CLK0	M	7	z
CLK0	M	7	z
CLK0	M	7	z
CLK0	M	7	sh
CLK0	M	7	sh
CLK0	M	7	sh
CLK0	M	7	sh
CLK0	M	7	sh
CLK0	M	7	sh
CLK0	M	7	sh
CLK0	M	7	sh
CLK0	M	7	f
CLK0	M	7	f
CLK0	M	7	f
CLK0	M	7	f
CLK0	M	7	f
CLK0	M	7	f
CLK0	M	7	f
CLK0	M	7	f
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	h#
CLK0	M	7	pau
