ID	Sex	DR	Vowel
CLM0	M	5	iy
CLM0	M	5	iy
CLM0	M	5	iy
CLM0	M	5	iy
CLM0	M	5	iy
CLM0	M	5	iy
CLM0	M	5	iy
CLM0	M	5	iy
CLM0	M	5	aa
CLM0	M	5	aa
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	s
CLM0	M	5	z
CLM0	M	5	z
CLM0	M	5	z
CLM0	M	5	z
CLM0	M	5	z
CLM0	M	5	z
CLM0	M	5	z
CLM0	M	5	z
CLM0	M	5	z
CLM0	M	5	sh
CLM0	M	5	sh
CLM0	M	5	sh
CLM0	M	5	sh
CLM0	M	5	sh
CLM0	M	5	sh
CLM0	M	5	sh
CLM0	M	5	sh
CLM0	M	5	sh
CLM0	M	5	sh
CLM0	M	5	sh
CLM0	M	5	f
CLM0	M	5	f
CLM0	M	5	f
CLM0	M	5	f
CLM0	M	5	f
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
CLM0	M	5	h#
