ID	Sex	DR	Vowel
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	iy
CMH0	F	3	aa
CMH0	F	3	aa
CMH0	F	3	aa
CMH0	F	3	aa
CMH0	F	3	aa
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	s
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	z
CMH0	F	3	sh
CMH0	F	3	sh
CMH0	F	3	sh
CMH0	F	3	sh
CMH0	F	3	sh
CMH0	F	3	sh
CMH0	F	3	sh
CMH0	F	3	sh
CMH0	F	3	sh
CMH0	F	3	f
CMH0	F	3	f
CMH0	F	3	f
CMH0	F	3	f
CMH0	F	3	f
CMH0	F	3	f
CMH0	F	3	f
CMH0	F	3	f
CMH0	F	3	f
CMH0	F	3	f
CMH0	F	3	f
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	h#
CMH0	F	3	pau
CMH0	F	3	pau
CMH0	F	3	pau
