ID	Sex	DR	Vowel
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	iy
CPM0	M	1	aa
CPM0	M	1	aa
CPM0	M	1	aa
CPM0	M	1	aa
CPM0	M	1	aa
CPM0	M	1	aa
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	s
CPM0	M	1	z
CPM0	M	1	z
CPM0	M	1	z
CPM0	M	1	z
CPM0	M	1	z
CPM0	M	1	z
CPM0	M	1	z
CPM0	M	1	z
CPM0	M	1	z
CPM0	M	1	z
CPM0	M	1	z
CPM0	M	1	z
CPM0	M	1	sh
CPM0	M	1	sh
CPM0	M	1	sh
CPM0	M	1	sh
CPM0	M	1	f
CPM0	M	1	f
CPM0	M	1	f
CPM0	M	1	f
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	h#
CPM0	M	1	pau
CPM0	M	1	pau
CPM0	M	1	pau
CPM0	M	1	pau
