ID	Sex	DR	Vowel
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	iy
DLC2	M	2	aa
DLC2	M	2	aa
DLC2	M	2	aa
DLC2	M	2	aa
DLC2	M	2	aa
DLC2	M	2	aa
DLC2	M	2	aa
DLC2	M	2	uh
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	s
DLC2	M	2	z
DLC2	M	2	z
DLC2	M	2	z
DLC2	M	2	z
DLC2	M	2	z
DLC2	M	2	z
DLC2	M	2	z
DLC2	M	2	z
DLC2	M	2	z
DLC2	M	2	sh
DLC2	M	2	sh
DLC2	M	2	sh
DLC2	M	2	sh
DLC2	M	2	f
DLC2	M	2	f
DLC2	M	2	f
DLC2	M	2	f
DLC2	M	2	f
DLC2	M	2	f
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	h#
DLC2	M	2	pau
