ID	Sex	DR	Vowel
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	iy
DRW0	F	6	aa
DRW0	F	6	aa
DRW0	F	6	aa
DRW0	F	6	aa
DRW0	F	6	aa
DRW0	F	6	aa
DRW0	F	6	aa
DRW0	F	6	aa
DRW0	F	6	uh
DRW0	F	6	uh
DRW0	F	6	uh
DRW0	F	6	uh
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	s
DRW0	F	6	z
DRW0	F	6	z
DRW0	F	6	z
DRW0	F	6	z
DRW0	F	6	z
DRW0	F	6	z
DRW0	F	6	z
DRW0	F	6	z
DRW0	F	6	z
DRW0	F	6	z
DRW0	F	6	sh
DRW0	F	6	sh
DRW0	F	6	sh
DRW0	F	6	sh
DRW0	F	6	sh
DRW0	F	6	sh
DRW0	F	6	sh
DRW0	F	6	f
DRW0	F	6	f
DRW0	F	6	f
DRW0	F	6	f
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	h#
DRW0	F	6	pau
DRW0	F	6	pau
