ID	Sex	DR	Vowel
DWD0	M	2	iy
DWD0	M	2	iy
DWD0	M	2	iy
DWD0	M	2	iy
DWD0	M	2	iy
DWD0	M	2	iy
DWD0	M	2	iy
DWD0	M	2	iy
DWD0	M	2	iy
DWD0	M	2	iy
DWD0	M	2	iy
DWD0	M	2	aa
DWD0	M	2	aa
DWD0	M	2	aa
DWD0	M	2	aa
DWD0	M	2	aa
DWD0	M	2	aa
DWD0	M	2	aa
DWD0	M	2	aa
DWD0	M	2	aa
DWD0	M	2	aa
DWD0	M	2	uh
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	s
DWD0	M	2	z
DWD0	M	2	z
DWD0	M	2	z
DWD0	M	2	z
DWD0	M	2	z
DWD0	M	2	z
DWD0	M	2	sh
DWD0	M	2	sh
DWD0	M	2	sh
DWD0	M	2	sh
DWD0	M	2	sh
DWD0	M	2	f
DWD0	M	2	f
DWD0	M	2	f
DWD0	M	2	f
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
DWD0	M	2	h#
