ID	Sex	DR	Vowel
EAL0	M	6	iy
EAL0	M	6	iy
EAL0	M	6	iy
EAL0	M	6	iy
EAL0	M	6	iy
EAL0	M	6	iy
EAL0	M	6	iy
EAL0	M	6	iy
EAL0	M	6	iy
EAL0	M	6	aa
EAL0	M	6	aa
EAL0	M	6	aa
EAL0	M	6	aa
EAL0	M	6	aa
EAL0	M	6	uh
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	s
EAL0	M	6	z
EAL0	M	6	z
EAL0	M	6	z
EAL0	M	6	z
EAL0	M	6	z
EAL0	M	6	z
EAL0	M	6	z
EAL0	M	6	sh
EAL0	M	6	sh
EAL0	M	6	sh
EAL0	M	6	sh
EAL0	M	6	sh
EAL0	M	6	sh
EAL0	M	6	f
EAL0	M	6	f
EAL0	M	6	f
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	h#
EAL0	M	6	pau
