ID	Sex	DR	Vowel
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	iy
EJS0	M	8	aa
EJS0	M	8	aa
EJS0	M	8	aa
EJS0	M	8	aa
EJS0	M	8	aa
EJS0	M	8	uh
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	s
EJS0	M	8	z
EJS0	M	8	z
EJS0	M	8	z
EJS0	M	8	z
EJS0	M	8	z
EJS0	M	8	z
EJS0	M	8	z
EJS0	M	8	z
EJS0	M	8	z
EJS0	M	8	sh
EJS0	M	8	sh
EJS0	M	8	sh
EJS0	M	8	f
EJS0	M	8	f
EJS0	M	8	f
EJS0	M	8	f
EJS0	M	8	f
EJS0	M	8	f
EJS0	M	8	f
EJS0	M	8	f
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	h#
EJS0	M	8	pau
EJS0	M	8	pau
EJS0	M	8	pau
EJS0	M	8	pau
EJS0	M	8	pau
EJS0	M	8	pau
