ID	Sex	DR	Vowel
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	iy
FXS0	M	7	aa
FXS0	M	7	aa
FXS0	M	7	aa
FXS0	M	7	aa
FXS0	M	7	uh
FXS0	M	7	uh
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	s
FXS0	M	7	z
FXS0	M	7	z
FXS0	M	7	z
FXS0	M	7	z
FXS0	M	7	z
FXS0	M	7	z
FXS0	M	7	z
FXS0	M	7	z
FXS0	M	7	z
FXS0	M	7	sh
FXS0	M	7	sh
FXS0	M	7	sh
FXS0	M	7	sh
FXS0	M	7	sh
FXS0	M	7	f
FXS0	M	7	f
FXS0	M	7	f
FXS0	M	7	f
FXS0	M	7	f
FXS0	M	7	f
FXS0	M	7	f
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	h#
FXS0	M	7	pau
