ID	Sex	DR	Vowel
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	iy
GAG0	M	4	aa
GAG0	M	4	aa
GAG0	M	4	aa
GAG0	M	4	aa
GAG0	M	4	aa
GAG0	M	4	aa
GAG0	M	4	aa
GAG0	M	4	aa
GAG0	M	4	uh
GAG0	M	4	uh
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	s
GAG0	M	4	z
GAG0	M	4	z
GAG0	M	4	z
GAG0	M	4	z
GAG0	M	4	z
GAG0	M	4	z
GAG0	M	4	z
GAG0	M	4	z
GAG0	M	4	z
GAG0	M	4	z
GAG0	M	4	z
GAG0	M	4	sh
GAG0	M	4	sh
GAG0	M	4	sh
GAG0	M	4	sh
GAG0	M	4	sh
GAG0	M	4	f
GAG0	M	4	f
GAG0	M	4	f
GAG0	M	4	f
GAG0	M	4	f
GAG0	M	4	f
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
GAG0	M	4	h#
