ID	Sex	DR	Vowel
GJF0	M	3	iy
GJF0	M	3	iy
GJF0	M	3	iy
GJF0	M	3	iy
GJF0	M	3	iy
GJF0	M	3	iy
GJF0	M	3	iy
GJF0	M	3	iy
GJF0	M	3	iy
GJF0	M	3	iy
GJF0	M	3	iy
GJF0	M	3	iy
GJF0	M	3	aa
GJF0	M	3	aa
GJF0	M	3	aa
GJF0	M	3	aa
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	s
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	z
GJF0	M	3	sh
GJF0	M	3	sh
GJF0	M	3	sh
GJF0	M	3	sh
GJF0	M	3	f
GJF0	M	3	f
GJF0	M	3	f
GJF0	M	3	f
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	h#
GJF0	M	3	pau
GJF0	M	3	pau
