ID	Sex	DR	Vowel
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	iy
GMM0	M	4	aa
GMM0	M	4	aa
GMM0	M	4	aa
GMM0	M	4	aa
GMM0	M	4	aa
GMM0	M	4	aa
GMM0	M	4	aa
GMM0	M	4	uh
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	s
GMM0	M	4	z
GMM0	M	4	z
GMM0	M	4	z
GMM0	M	4	z
GMM0	M	4	sh
GMM0	M	4	sh
GMM0	M	4	sh
GMM0	M	4	sh
GMM0	M	4	f
GMM0	M	4	f
GMM0	M	4	f
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	h#
GMM0	M	4	pau
GMM0	M	4	pau
