ID	Sex	DR	Vowel
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	iy
JEN0	F	7	aa
JEN0	F	7	aa
JEN0	F	7	aa
JEN0	F	7	aa
JEN0	F	7	aa
JEN0	F	7	aa
JEN0	F	7	aa
JEN0	F	7	aa
JEN0	F	7	aa
JEN0	F	7	aa
JEN0	F	7	uh
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	s
JEN0	F	7	z
JEN0	F	7	z
JEN0	F	7	z
JEN0	F	7	z
JEN0	F	7	z
JEN0	F	7	z
JEN0	F	7	sh
JEN0	F	7	sh
JEN0	F	7	sh
JEN0	F	7	sh
JEN0	F	7	sh
JEN0	F	7	sh
JEN0	F	7	f
JEN0	F	7	f
JEN0	F	7	f
JEN0	F	7	f
JEN0	F	7	f
JEN0	F	7	f
JEN0	F	7	f
JEN0	F	7	f
JEN0	F	7	f
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	h#
JEN0	F	7	pau
JEN0	F	7	pau
JEN0	F	7	pau
