ID	Sex	DR	Vowel
JFC0	M	6	iy
JFC0	M	6	iy
JFC0	M	6	iy
JFC0	M	6	iy
JFC0	M	6	iy
JFC0	M	6	iy
JFC0	M	6	iy
JFC0	M	6	iy
JFC0	M	6	iy
JFC0	M	6	iy
JFC0	M	6	iy
JFC0	M	6	iy
JFC0	M	6	aa
JFC0	M	6	aa
JFC0	M	6	aa
JFC0	M	6	aa
JFC0	M	6	aa
JFC0	M	6	aa
JFC0	M	6	aa
JFC0	M	6	aa
JFC0	M	6	aa
JFC0	M	6	uh
JFC0	M	6	uh
JFC0	M	6	uh
JFC0	M	6	uh
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	s
JFC0	M	6	z
JFC0	M	6	z
JFC0	M	6	z
JFC0	M	6	z
JFC0	M	6	z
JFC0	M	6	z
JFC0	M	6	sh
JFC0	M	6	sh
JFC0	M	6	sh
JFC0	M	6	f
JFC0	M	6	f
JFC0	M	6	f
JFC0	M	6	f
JFC0	M	6	f
JFC0	M	6	f
JFC0	M	6	f
JFC0	M	6	f
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
JFC0	M	6	h#
