ID	Sex	DR	Vowel
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	iy
JJM0	M	7	aa
JJM0	M	7	aa
JJM0	M	7	aa
JJM0	M	7	aa
JJM0	M	7	aa
JJM0	M	7	aa
JJM0	M	7	aa
JJM0	M	7	uh
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	s
JJM0	M	7	z
JJM0	M	7	z
JJM0	M	7	z
JJM0	M	7	z
JJM0	M	7	z
JJM0	M	7	z
JJM0	M	7	z
JJM0	M	7	z
JJM0	M	7	sh
JJM0	M	7	sh
JJM0	M	7	sh
JJM0	M	7	sh
JJM0	M	7	sh
JJM0	M	7	f
JJM0	M	7	f
JJM0	M	7	f
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	h#
JJM0	M	7	pau
